{'Coin': 'ETH', 'Profit': 1.0090921527173238, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 156.2022, 'bid': 159.3578}, 'Bid': {'ask': 160.82, 'bid': 160.82}}
{'Coin': 'XRP', 'Profit': 1.008355719165589, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2930895, 'bid': 0.29901049999999996}, 'Bid': {'ask': 0.30153, 'bid': 0.30153}}
{'Coin': 'BTC', 'Profit': 1.0090878390636113, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5353.98435, 'bid': 5462.1456499999995}, 'Bid': {'ask': 5512.24, 'bid': 5512.24}}
{'Coin': 'LTC', 'Profit': 1.0083586169195025, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.1216, 'bid': 72.5584}, 'Bid': {'ask': 73.17, 'bid': 73.17}}
{'Coin': 'ETC', 'Profit': 1.0096116504854369, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.5994399999999995, 'bid': 5.71256}, 'Bid': {'ask': 5.768, 'bid': 5.768}}
{'Coin': 'ZEC', 'Profit': 1.0087722953825637, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.28625, 'bid': 59.46375}, 'Bid': {'ask': 59.99, 'bid': 59.99}}
{'Coin': 'ZRX', 'Profit': 1.0088746028880866, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.269105265, 'bid': 0.274541735}, 'Bid': {'ask': 0.277, 'bid': 0.277}}
{'Coin': 'ETH', 'Profit': 1.0066079103083152, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 156.33089999999999, 'bid': 159.4891}, 'Bid': {'ask': 160.55, 'bid': 160.55}}
{'Coin': 'XRP', 'Profit': 1.0070828072040938, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2928915, 'bid': 0.2988085}, 'Bid': {'ask': 0.30094, 'bid': 0.30094}}
{'Coin': 'BTC', 'Profit': 1.006410629731621, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5358.0383999999995, 'bid': 5466.2816}, 'Bid': {'ask': 5501.55, 'bid': 5501.55}}
{'Coin': 'LTC', 'Profit': 1.0075568026279769, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 71.0721, 'bid': 72.5079}, 'Bid': {'ask': 73.06, 'bid': 73.06}}
{'Coin': 'ETC', 'Profit': 1.0096096070020666, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.590034999999999, 'bid': 5.702965}, 'Bid': {'ask': 5.7583, 'bid': 5.7583}}
{'Coin': 'ZEC', 'Profit': 1.0069542341740436, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.27635, 'bid': 59.45365}, 'Bid': {'ask': 59.87, 'bid': 59.87}}
{'Coin': 'ZRX', 'Profit': 1.0087704446854664, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.26874490500000003, 'bid': 0.274174095}, 'Bid': {'ask': 0.2766, 'bid': 0.2766}}
{'Coin': 'ETH', 'Profit': 1.0106256993659084, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 155.99925, 'bid': 159.15075}, 'Bid': {'ask': 160.86, 'bid': 160.86}}
{'Coin': 'XRP', 'Profit': 1.0110800066258077, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.2925945, 'bid': 0.2985055}, 'Bid': {'ask': 0.30185, 'bid': 0.30185}}
{'Coin': 'BTC', 'Profit': 1.0096719518067911, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5341.7133, 'bid': 5449.6267}, 'Bid': {'ask': 5502.85, 'bid': 5502.85}}
{'Coin': 'LTC', 'Profit': 1.0088959703947367, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 70.87904999999999, 'bid': 72.31095}, 'Bid': {'ask': 72.96, 'bid': 72.96}}
{'Coin': 'ETC', 'Profit': 1.0113186603534696, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 5.58756, 'bid': 5.70044}, 'Bid': {'ask': 5.7657, 'bid': 5.7657}}
{'Coin': 'ZEC', 'Profit': 1.009163323303243, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 58.09815000000001, 'bid': 59.27185}, 'Bid': {'ask': 59.82, 'bid': 59.82}}
{'Coin': 'ZRX', 'Profit': 1.0084119529837252, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 0.26874490500000003, 'bid': 0.274174095}, 'Bid': {'ask': 0.2765, 'bid': 0.2765}}
{'Coin': 'ETH', 'Profit': 1.013962818609255, 'Ask_Exchange': 'CoinBase', 'Bid_Exchange': 'Binance', 'Ask_Spread': {'ask': 156.22695000000002, 'bid': 159.38305}, 'Bid': {'ask': 161.64, 'bid': 161.64}}
